division,adress,cctv,lat,long,cctvCnt,date
강서구,P243005_우장산동(화곡동) 산60-1(우장산힐링센터 앞),도심공원,37.5527846,126.8432711,1,2021-01-29
강서구,P243006_우장산동(내발산동) 산19-1(보조1)(우장산책로입구),도심공원,37.55325735,126.842582,1,2021-01-29
강서구,P243008_우장산동(내발산동) 산4-5(검덕산주창장입구),도심공원,37.55425308,126.8434612,1,2021-01-29
강서구,P183010(SC공원08) - 마곡중앙로 어린이공원2호 내,도심공원,37.55555377,126.826978,1,2021-01-29
강서구,P183005(SC공원14) - 마곡중앙로 남쪽 끝 지점 교차 사거리 14단지 지점,도심공원,37.55575215,126.8257649,1,2021-01-29
강서구,P243007_우장산동(내발산동) 산4-5(검덕산산책로삼거리),도심공원,37.5561321,126.84473,1,2021-01-29
강서구,P243007_우장산동(내발산동) 산4-5(보조1)(검덕산산책로삼거리),도심공원,37.5561321,126.84473,1,2021-01-29
강서구,P243007_우장산동(내발산동) 산4-5(보조2)(검덕산산책로삼거리),도심공원,37.5561321,126.84473,1,2021-01-29
강서구,P233002_염창동 산32-8(염창근린공원진입로),도심공원,37.5563182,126.867929,1,2021-01-29
강서구,P233002_염창동 산32-8(보조1)(염창근린공원 진입로),도심공원,37.55631827,126.8679294,1,2021-01-29
강서구,P183006(SC공원04) - 마곡서로 근린공원3호 내,도심공원,37.55675608,126.8204256,1,2021-01-29
강서구,P143002_공항동 668(장미어린이공원),도심공원,37.55677737,126.8139776,1,2021-01-29
강서구,P183013(SC공원13) - 방화대로 어린이공원8호 앞,도심공원,37.5571466,126.8170312,1,2021-01-29
강서구,P183013(SC공원13) - 방화대로 어린이공원8호 앞(보조1),도심공원,37.5571466,126.8170312,1,2021-01-29
강서구,P183007(SC공원03) - 마곡서로 근린공원3호 내,도심공원,37.55741246,126.821716,1,2021-01-29
강서구,P233001_염창동 산30-9 (염창근린공원입구/성은교회뒤)(보조1),도심공원,37.55900867,126.8656431,1,2021-01-29
강서구,P233001_염창동 산30-9 (염창근린공원입구/성은교회뒤),도심공원,37.55901768,126.865643,1,2021-01-29
강서구,P173008_등촌3동 695-4(백합어린이공원),도심공원,37.5591615,126.8449391,1,2021-01-29
강서구,P133004_가양3동 1489-1(비둘기어린이공원),도심공원,37.55966204,126.8631126,1,2021-01-29
강서구,P133004_가양3동 1489-1(비둘기어린이공원)(보조1),도심공원,37.55966204,126.8631126,1,2021-01-29
강서구,P173002_원당근린공원2(등촌3동 690-5),도심공원,37.559696,126.842224,1,2021-01-29
강서구,P183022(SC공원27) - 마곡동로4길 연결녹지27호 내,도심공원,37.55974385,126.8364877,1,2021-01-29
강서구,P173003_원당근린공원3(등촌3동 690-5),도심공원,37.559826,126.84161,1,2021-01-29
강서구,P183018(SC공원21) - 공항대로 마곡역 좌측 연결녹지21호 내,도심공원,37.56010362,126.8264712,1,2021-01-29
강서구,P173001_원당근린공원1(등촌3동 690-5),도심공원,37.560135,126.84169,1,2021-01-29
강서구,P143001_공항동 42-11(송정어린이공원),도심공원,37.56066438,126.8112642,1,2021-01-29
강서구,P173007_등촌3동 688-3(새벗어린이공원),도심공원,37.56066899,126.8400827,1,2021-01-29
강서구,P183021(SC공원25) - 연결녹지25호 내,도심공원,37.56080413,126.8342834,1,2021-01-29
강서구,P183012(SC공원12)_공항대로 어린이공원7호 앞,도심공원,37.56103199,126.8180798,1,2021-01-29
강서구,P133001_가양동 1485-5 황금내근린공원 #01 - 카메라 1,도심공원,37.56117,126.86532,1,2021-01-29
강서구,P133002_가양동 1485-5 황금내근린공원 #02 - 카메라 1,도심공원,37.561943,126.864174,1,2021-01-29
강서구,P183008(SC공원10) - 어린이공원5호 내,도심공원,37.56294814,126.818418,1,2021-01-29
강서구,P173004_등촌어린이공원1(등촌3동 687-4),도심공원,37.563286,126.84124,1,2021-01-29
강서구,P183011(SC공원11) - 마곡중앙3로 어린이공원6호 앞,도심공원,37.56340356,126.8225987,1,2021-01-29
강서구,P183011(SC공원11) - 마곡중앙3로 어린이공원6호 앞(보조1),도심공원,37.56340356,126.8225987,1,2021-01-29
강서구,P133003_가양동 1485-5 황금내근린공원 #03 - 카메라 1,도심공원,37.56346083,126.8613762,1,2021-01-29
강서구,P173005_등촌어린이공원2(등촌3동 687-4),도심공원,37.56366,126.84222,1,2021-01-29
강서구,P123001_가양2동 1481-1 풀피리어린이공원(녹지과),도심공원,37.563747,126.85455,1,2021-01-29
